,Unnamed: 0,URL,Date,User,Tweet,Label
0,0,https://twitter.com/MCAOps/status/1597723595803070466,2022-11-29 22:46:04+00:00,MCAOps,Habib Bahar bin Ali bin Smith menyerahkan bantuan berupa Paket sembako dan uang untuk korban gempa bumi Cianjur. Habib Bahar juga memberikan doa dan dorongan semangat untuk warga yang terdampak musibah gempa bumi. https://t.co/L8snEB1OwU,0
1,1,https://twitter.com/infoBMKG/status/1597596741028966401,2022-11-29 14:21:59+00:00,infoBMKG,"#Gempa Mag:2.7, 29-Nov-22 20:57:25 WIB, Lok:6.83 LS, 107.11 BT (Pusat gempa berada di darat 3 km BaratDaya Cianjur), Kedlmn:12 Km Dirasakan (MMI) III Cianjur, III Cugenang, III Cibeber, III Karangtengah, II Warungkondang, II Sukabumi, II Cilaku #BMKG https://t.co/Xjkrl4VFky",
2,2,https://twitter.com/z4r4n/status/1597595661108936704,2022-11-29 14:17:42+00:00,z4r4n,Habib Bahar bin Smith bersama korban Gempa Cianjur malam ini. https://t.co/idBOTgPzI1,
3,3,https://twitter.com/tukangrosok___/status/1597588518548934658,2022-11-29 13:49:19+00:00,tukangrosok___,"China siapkan bantuan penanganan gempa Cianjur.
Diterima Kadrun gak ya ? Bantuan dari Non Muslim saja mereka tolak mentah², ini malah akan malah bantuan dari China Komunis yg akan datang. https://t.co/1wpqTDFAmF",
4,4,https://twitter.com/Cimol_Moza/status/1597578313660526592,2022-11-29 13:08:46+00:00,Cimol_Moza,"Seluruh warga Cianjur korban Gempa bumi boleh datang langsung ke posko Induk Relawan HILMI-FrontPersaudaraan Islam
(FPI) dan Insya Allah akan langsung diberikan bantuan logistik dan makan gratis di posko induk relawan HILMI-FrontPersaudaraan Islam 
(FPI) Alhamdulillah , https://t.co/AriiN3ClIu",
5,5,https://twitter.com/z4r4n/status/1597574626535952387,2022-11-29 12:54:07+00:00,z4r4n,"Semua warga Cianjur korban Gempa boleh datang langsung ke posko Induk Relawan HILMI-FPI, Insya Allah akan langsung diberikan bantuan logistik dan makan gratis di posko induk relawan HILMI-FPI. https://t.co/WVpSGkBLZO",
6,6,https://twitter.com/MprAldo/status/1597569521665314816,2022-11-29 12:33:50+00:00,MprAldo,"WOW SAMPAHNYA AJA 31 TON !!!
ITU KALO JADI BERAS BUAT KORBAN GEMPA CIANJUR PASTI LEBIH MANFAAT !!

Link :
https://t.co/UtaxlVV8Pm

#PrayForCianjur 
#PrayForCianjur https://t.co/ugGqLHfuJc",
7,7,https://twitter.com/Syifa_Nafsya/status/1597565536631918592,2022-11-29 12:17:59+00:00,Syifa_Nafsya,"Alhamdulillah Ya Robaal alamin""
Bantuan logistik untuk korban Gempa Bumi di Cianjur terus mengalir ke Posko Induk Relawan HILMI-FrontPersaudaraan Islam (FPI) berkah berkah !, https://t.co/JmN4V40WvZ",
8,8,https://twitter.com/z4r4n/status/1597555782845108224,2022-11-29 11:39:14+00:00,z4r4n,"Alhamdulillah, bantuan logistik untuk korban Gempa Cianjur terus mengalir ke Posko Induk Relawan HILMI-FPI. https://t.co/oEbjomUHwO",
9,9,https://twitter.com/ninzexe4/status/1597535720486633477,2022-11-29 10:19:31+00:00,ninzexe4,"Bismillah

MasyaAllah Tabaraqallah Habib Hanif Alathos di lokasi Gempa Cianjur.

Sehat terus Habib 
Aamiin Allahumma Aamiin 🤲🏻

Allahumma sholliala sayyidina Muhammad waala aali sayyidina Muhammad 🤲🏻 https://t.co/B4qdWszjNj",
10,10,https://twitter.com/QaillaAsyiqah/status/1597528663352045568,2022-11-29 09:51:28+00:00,QaillaAsyiqah,"Masya'Allah Tabarakallah..
Kunjungan Habib Hanif Al Atthas di lokasi Gempa Cianjur.. #PrayForCianjur (29/Nov/2022) https://t.co/whVDfKJujz",
11,11,https://twitter.com/catreonot/status/1597517925480804353,2022-11-29 09:08:48+00:00,catreonot,"Kumpulan akun2 yg memecah belah kedamaian dan memicu keributan SARA mengenai ""bantuan untuk korban gempa Cianjur""

Untuk kawan2 yg nemu boleh nanti ss tweetnya &amp; home page profilnya. Drop di DM/reply. Hanupis!

Akunnya  VS    Tweetnya

1. https://t.co/UhW1XdQY9P",
12,12,https://twitter.com/Bintang_Geminii/status/1597515400023273474,2022-11-29 08:58:46+00:00,Bintang_Geminii,"Masyaallah, Menantu Guru Tercinta Al-Habib Muhammad Rizieq Bin Hussein Bin Syihab yaitu Al-Habib Hanif Al-athos meninjau langsung lokasi bencana gempa bumi di  cianjur hari ini ♥️♥️ https://t.co/FYee11LfiG",
13,13,https://twitter.com/WagimanDeep212_/status/1597514067564187653,2022-11-29 08:53:28+00:00,WagimanDeep212_,"PPATK Peduli Bencana 
Tim SIAGA J35 (kolaborasi antara Ikatan Pegawai PPATK, Komunitas Pecinta Alam PPATK, Tim SIAGA J35, dan Pusdiklat APUPPT PPATK) menyampaiken bantuan kpada korban gempa di bebrapa titik di Kab Cianjur, juga mbantu bangun musholah2 darurat ntuk warga..👍 https://t.co/DmQBAJpyHz",
14,14,https://twitter.com/MCAOps/status/1597509260086112256,2022-11-29 08:34:22+00:00,MCAOps,"Romantisme relawan Front Persaudaraan Islam (FPI) dan Tentara Nasional Indonesia (TNI). 
Nampak Relawan FPI dan prajurit TNI saat sedang mencari jenazah korban terdampak gempa yang tertimbun longsor, serta saat TNI menitipkan bantuan ke FPI untuk korban gempa bumi di Cianjur. https://t.co/kQGzJR4X0m",
15,15,https://twitter.com/Mueezzza/status/1597508009860923393,2022-11-29 08:29:24+00:00,Mueezzza,"Relawan Front Persaudaraan Islam (FPI) bahu membahu bersinergi dengan para prajurit TNI dalam kegiatan SAR di lokasi terdampak gempa bumi di Cianjur, Jawa Barat.
Alhamdulillah Ya Robaal alamin https://t.co/xI0WFTeNjA",
16,16,https://twitter.com/MCAOps/status/1597502858597126144,2022-11-29 08:08:56+00:00,MCAOps,"Relawan Front Persaudaraan Islam (FPI) bahu membahu bersinergi dengan para prajurit TNI dalam giat SAR di lokasi terdampak gempa bumi di Cianjur, Jawa Barat. https://t.co/UWwJfwqGMj",
17,17,https://twitter.com/CyberHansip86/status/1597499868796579842,2022-11-29 07:57:03+00:00,CyberHansip86,"Video) FPI-TNI Bersinergi Bantu Korban Gempa Bumi di Cianjur

Yang teriak teriak NKRI bacot paling gede mana???
Bisa gak kaya gini.

Jangan cuma nurunin bendera palestine,bubarin pengajian,geruduk acara dll. https://t.co/6zCmAjNaGF",
18,18,https://twitter.com/Putri_Zeee/status/1597492995963883520,2022-11-29 07:29:44+00:00,Putri_Zeee,"Relawan Front Persaudaraan Islam (FPI) Istirahat ala kadarnya disela sela membantu masyarakat yang terdampak Gempa Bumi di Cianjur, https://t.co/S52eSEdB09",
19,19,https://twitter.com/n3wbie__/status/1597491108703272960,2022-11-29 07:22:14+00:00,n3wbie__,"setelah  viral baru klarifikasi..😂

Klasifikasi ormas GARIS  terkait pencopotan label / logo greja pada tenda bantuan korban gempa cianjur https://t.co/vPc6age2F4",
20,20,https://twitter.com/Humaira922/status/1597487753511702528,2022-11-29 07:08:54+00:00,Humaira922,Habib Hanif Al athos meninjau langsung ke lokasi bencana gempa cianjur hari ini ☺️ https://t.co/s0rCer9RBg,
